id,sort,dc_title,dc_description,dc_creator,iiif_service
b639ca42-600a-4e11-88d9-ed6421342aaf,60,"Ancient, Medieval and Modern History; Standard atlas of Nobles County, Minnesota, 1914",,Geo. A. Ogle & Co.,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2294/info.json
77a9138f-501a-43f3-bbe4-f417c79ea4ab,61,"Ancient, Medieval and Modern History; Standard atlas of Nobles County, Minnesota, 1914",,Geo. A. Ogle & Co.,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2295/info.json
0a672ca6-d5e8-401c-9648-cc59810abffa,62,"Ancient, Medieval and Modern History; Standard atlas of Nobles County, Minnesota, 1914",,Geo. A. Ogle & Co.,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2296/info.json
4206bff3-ae51-4a09-a162-070175f439a1,63,"Ancient, Medieval and Modern History; Standard atlas of Nobles County, Minnesota, 1914",,Geo. A. Ogle & Co.,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2297/info.json
640d009c-f867-4377-a4f6-383228390a4e,64,"Ancient, Medieval and Modern History; Standard atlas of Nobles County, Minnesota, 1914",,Geo. A. Ogle & Co.,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2298/info.json
c3e09779-8d90-4a7a-b1e6-31a9de63dd3b,65,"Ancient, Medieval and Modern History; Standard atlas of Nobles County, Minnesota, 1914",,Geo. A. Ogle & Co.,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2299/info.json
efc828c8-2077-45e9-9720-13a59e5d99b9,66,"Ancient, Medieval and Modern History; Standard atlas of Nobles County, Minnesota, 1914",,Geo. A. Ogle & Co.,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2300/info.json
c2ae033c-f57b-471c-8784-52a10e29924b,67,"Ancient, Medieval and Modern History; Standard atlas of Nobles County, Minnesota, 1914",,Geo. A. Ogle & Co.,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2301/info.json
5f5e6e08-f7e0-427c-b58b-4138261c59c8,68,"Ancient, Medieval and Modern History; Standard atlas of Nobles County, Minnesota, 1914",,Geo. A. Ogle & Co.,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2302/info.json
0c8c900a-67b9-443b-b7a5-8598fc9e2251,69,"Rear Cover; Standard atlas of Nobles County, Minnesota, 1914",,Geo. A. Ogle & Co.,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2303/info.json
